symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue,endpoint
COST,2025-08-31,943.32,443985000,418819930200,14161000000,8173000000,412831930200,enterprise-values
COST,2024-09-01,892.38,443914000,396139975320,9906000000,8272000000,394505975320,enterprise-values
COST,2023-09-03,544.25,443854000,241567539500,13700000000,8884000000,236751539500,enterprise-values
COST,2022-08-28,531.06,443651000,235605300059,10203000000,9039000000,234441300059,enterprise-values
COST,2021-08-29,455.93,443089000,202017567770,11258000000,10133000000,200892567770,enterprise-values
WMT,2026-01-31,119.14,7983000000,951094620000,10727000000,67095000000,1007462620000,enterprise-values
WMT,2025-01-31,98.16,8041000000,789304560000,9037000000,60114000000,840381560000,enterprise-values
WMT,2024-01-31,55.08,8077008000,444881600640,9867000000,61321000000,496335600640,enterprise-values
WMT,2023-01-31,47.96,8172000000,391929120000,8625000000,58923000000,442227120000,enterprise-values
WMT,2022-01-31,46.6,8376000000,390321600000,14760000000,57323000000,432884600000,enterprise-values
