date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,endpoint
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,16253000000,5932000000,22185000000,2952000000,2952000000,0,12839000000,0,2941000000,40917000000,36635000000,194000000,399000000,593000000,657000000,328000000,3208000000,41421000000,0,82338000000,16490000000,15255000000,1235000000,3773000000,1016000000,971000000,1235000000,2810000000,1649000000,26709000000,1029000000,2732000000,2804000000,82000000,3084000000,9731000000,0,3703000000,36440000000,0,0,3000000,12885000000,32177000000,-361000000,0,44704000000,45898000000,1194000000,82338000000,6589000000,5748000000,-10505000000,balance-sheet-statement
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,17576000000,131000000,17707000000,1913000000,1913000000,0,5757000000,1723000000,0,27100000000,31176000000,200000000,1517000000,1717000000,522000000,0,1612000000,35027000000,4000000,62131000000,11147000000,10025000000,1122000000,2951000000,1088000000,869000000,1122000000,2372000000,1278000000,19705000000,4254000000,2662000000,2052000000,24000000,1851000000,10843000000,0,3531000000,30548000000,0,0,3000000,329000000,29803000000,54000000,0,30189000000,31583000000,1394000000,62131000000,653000000,8873000000,-8703000000,balance-sheet-statement
2025-12-31,NFLX,USD,0001065280,2026-01-23,2026-01-23 16:06:33,2025,FY,9033681000,28678000,9062359000,2583476000,2031476000,552000000,0,498054000,876302000,13020191000,2004350000,0,32778392000,32778392000,0,0,7794060000,42576802000,0,55596993000,900612000,900612000,0,3220869000,998865000,0,0,1775730000,4084854000,10980930000,13463971000,0,0,0,4536604000,18000575000,0,0,28981505000,-22372658000,0,7286410000,42282118000,0,-580382000,0,26615488000,26615488000,0,55596993000,28678000,14462836000,5429155000,balance-sheet-statement
2024-12-31,NFLX,USD,0001065280,2025-01-27,2025-01-27 16:01:56,2024,FY,7804733000,1779006000,9583739000,1988304000,1335304000,653000000,0,431924000,1096412000,13100379000,1593756000,0,32452462000,32452462000,0,0,6483777000,40529995000,0,53630374000,899909000,899909000,0,2156544000,1784453000,428482000,0,1520813000,3965199000,10755400000,13798351000,1983688000,0,0,2349368000,18131407000,0,2412170000,28886807000,-13171638000,0,6252126000,31300917000,0,362162000,0,24743567000,24743567000,0,53630374000,1779006000,17994974000,10190241000,balance-sheet-statement
2023-12-31,NFLX,USD,0001065280,2024-01-26,2024-01-26 16:01:56,2023,FY,7116913000,20973000,7137886000,1842054000,1287054000,555000000,0,408936000,529257000,9918133000,1491444000,0,31658056000,31658056000,0,0,5664359000,38813859000,0,48731992000,747412000,747412000,0,1803960000,399844000,383312000,0,1442969000,4083158000,8860655000,14143417000,2046801000,0,0,3092806000,19283024000,0,2430113000,28143679000,-6922200000,0,5145172000,22589286000,0,-223945000,0,20588313000,20588313000,0,48731992000,20973000,16973374000,9856461000,balance-sheet-statement
2022-12-31,NFLX,USD,0001065280,2023-01-26,2023-01-26 16:03:50,2022,FY,5147176000,911276000,6058452000,1586898000,988898000,598000000,0,392735000,1228388000,9266473000,1398257000,0,32736713000,32736713000,0,0,5173329000,39328295000,0,48594768000,671513000,671513000,0,1514650000,0,0,0,1264661000,4480150000,7930974000,14353076000,0,0,0,5533317000,19886393000,0,0,27817367000,-824190000,0,4637601000,17181296000,0,-217306000,0,20777401000,20777401000,0,48594768000,911276000,14353076000,9205900000,balance-sheet-statement
2021-12-31,NFLX,USD,0001065280,2022-01-27,2022-01-27 17:03:33,2021,FY,6027804000,0,6027804000,804320000,804320000,0,0,323818000,913883000,8069825000,1323453000,0,30919539000,30919539000,24118000,0,4247728000,36514838000,0,44584663000,837483000,837483000,0,1449351000,699823000,315189000,0,1209342000,3977778000,8488966000,14693072000,2408486000,0,0,3144891000,20246449000,0,2723675000,28735415000,-824190000,0,4024561000,12689372000,0,-40495000,0,15849248000,15849248000,0,44584663000,24118000,18116570000,12088766000,balance-sheet-statement
2025-12-27,AMD,USD,0000002488,2026-02-04,2026-02-03 18:14:52,2025,FY,5539000000,5013000000,10552000000,6315000000,6315000000,0,7920000000,0,2160000000,26947000000,2312000000,25126000000,16705000000,41831000000,0,384000000,5452000000,49979000000,0,76926000000,2929000000,2929000000,0,0,874000000,0,0,0,5652000000,9455000000,2973000000,625000000,0,313000000,561000000,4472000000,0,625000000,13927000000,-7079000000,0,17000000,6699000000,63365000000,-3000000,0,62999000000,62999000000,0,76926000000,5013000000,4472000000,-1067000000,balance-sheet-statement
2024-12-28,AMD,USD,0000002488,2025-02-05,2025-02-05 16:42:57,2024,FY,3787000000,1345000000,5132000000,6933000000,6192000000,741000000,5734000000,0,1250000000,19049000000,2425000000,24839000000,18930000000,43769000000,149000000,688000000,3146000000,50177000000,0,69226000000,2466000000,1990000000,476000000,3086000000,0,0,0,0,1729000000,7281000000,1721000000,491000000,0,349000000,1816000000,4377000000,0,491000000,11658000000,-6106000000,0,17000000,2364000000,61362000000,-69000000,0,57568000000,57568000000,0,69226000000,1494000000,2212000000,-1575000000,balance-sheet-statement
2023-12-30,AMD,USD,0000002488,2024-01-31,2024-01-31 17:16:39,2023,FY,3933000000,1840000000,5773000000,5385000000,4323000000,1062000000,4351000000,0,1259000000,16768000000,2222000000,24262000000,21363000000,45625000000,99000000,366000000,2805000000,51117000000,0,67885000000,2418000000,2055000000,363000000,2198000000,751000000,0,0,544000000,778000000,6689000000,1717000000,535000000,0,1202000000,1850000000,5304000000,0,535000000,11993000000,-4514000000,0,17000000,723000000,59676000000,-10000000,0,55892000000,55892000000,0,67885000000,1939000000,3003000000,-930000000,balance-sheet-statement
