date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,endpoint
2025-12-31,NFLX,USD,0001065280,2026-01-23,2026-01-23 16:06:33,2025,FY,45183036000,23275329000,21907707000,3391390000,1888408000,3301306000,5189714000,0,8581104000,31856433000,-604051000,172459000,776510000,16755555000,30254617000,13499062000,-172459000,13326603000,-604051000,12722552000,1741351000,10981201000,0,0,10981201000,0,10981201000,2.58,2.53,4229221000,4317144000,income-statement
2024-12-31,NFLX,USD,0001065280,2025-01-27,2025-01-27 16:01:56,2024,FY,39000966000,21038464000,17962502000,2925295000,1702039000,2917554000,4619593000,0,7544888000,28583352000,-451957000,266776000,718733000,15630431000,26314821000,10684390000,-266776000,10417614000,-451957000,9965657000,1254026000,8711631000,0,0,8711631000,0,8711631000,2.03,1.98,4295190000,4392610000,income-statement
2023-12-31,NFLX,USD,0001065280,2024-01-26,2024-01-26 16:01:56,2023,FY,33723297000,19715368000,14007929000,2675758000,1720285000,2657883000,4378168000,0,7053926000,26769294000,-748598000,0,748598000,14554384000,21508387000,6954003000,0,6954003000,-748598000,6205405000,797415000,5407990000,0,0,5407990000,0,5407990000,1.23,1.2,4415710000,4494980000,income-statement
2022-12-31,NFLX,USD,0001065280,2023-01-26,2023-01-26 16:03:50,2022,FY,31615550000,19168285000,12447265000,2711041000,1572891000,2530502000,4103393000,0,6814434000,25982719000,-368902000,337310000,706212000,14362814000,20332955000,5970141000,-337310000,5632831000,-368902000,5263929000,772005000,4491924000,0,0,4491924000,0,4491924000,1.01,1.0,4446980000,4512900000,income-statement
2021-12-31,NFLX,USD,0001065280,2022-01-27,2022-01-27 17:03:33,2021,FY,29697844000,17332683000,12365161000,2273885000,1351621000,2545146000,3896767000,0,6170652000,23503335000,-354406000,411214000,765620000,12438779000,19044502000,6605723000,-411214000,6194509000,-354406000,5840103000,723875000,5116228000,0,0,5116228000,0,5116228000,1.16,1.12,4431550000,4553720000,income-statement
2025-12-27,AMD,USD,0000002488,2026-02-04,2026-02-03 18:14:52,2025,FY,34639000000,17487000000,17152000000,8091000000,0,0,4144000000,1223000000,13458000000,30945000000,84000000,215000000,131000000,3004000000,7275000000,4271000000,-575000000,3694000000,472000000,4166000000,-103000000,4269000000,66000000,0,4335000000,0,4335000000,2.67,2.65,1624000000,1636000000,income-statement
2024-12-28,AMD,USD,0000002488,2025-02-05,2025-02-05 16:42:57,2024,FY,25785000000,13060000000,12725000000,6456000000,1583000000,1200000000,2783000000,1586000000,10825000000,23885000000,90000000,182000000,92000000,3177000000,5258000000,2081000000,-181000000,1900000000,122000000,2022000000,381000000,1641000000,0,0,1641000000,0,1641000000,1.01,1.0,1620000000,1637000000,income-statement
2023-12-30,AMD,USD,0000002488,2024-01-31,2024-01-31 17:16:39,2023,FY,22680000000,12220000000,10460000000,5872000000,1657000000,695000000,2352000000,1835000000,10059000000,22279000000,100000000,206000000,106000000,3551000000,4149000000,598000000,-197000000,401000000,107000000,508000000,-346000000,854000000,0,0,854000000,0,854000000,0.53,0.53,1614000000,1625000000,income-statement
2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,FY,23601000000,12998000000,10603000000,5005000000,1653000000,683000000,2336000000,1998000000,9339000000,22337000000,-23000000,65000000,88000000,4262000000,5534000000,1272000000,-8000000,1264000000,-66000000,1198000000,-122000000,1320000000,0,0,1320000000,0,1320000000,0.85,0.84,1561000000,1571000000,income-statement
2021-12-25,AMD,USD,0000002488,2022-02-03,2022-02-03 17:22:50,2021,FY,16434000000,8505000000,7929000000,2845000000,870000000,578000000,1448000000,-12000000,4281000000,12786000000,-26000000,8000000,34000000,463000000,4166000000,3703000000,-55000000,3648000000,27000000,3675000000,513000000,3162000000,0,0,3162000000,0,3162000000,2.61,2.57,1213000000,1229000000,income-statement
2025-12-27,INTC,USD,0000050863,2026-01-23,2026-01-22 18:43:06,2025,FY,52853000000,34478000000,18375000000,13774000000,0,0,4607000000,17000000,18398000000,52876000000,-84000000,1007000000,1091000000,11706000000,14354000000,2648000000,-2671000000,-23000000,1580000000,1557000000,1531000000,26000000,0,0,-267000000,0,-267000000,-0.0589,-0.0589,4856000000,4856000000,income-statement
2024-12-28,INTC,USD,0000050863,2025-01-31,2025-01-31 17:13:51,2024,FY,53101000000,35756000000,17345000000,16546000000,4651000000,856000000,5507000000,6970000000,29023000000,64779000000,981000000,1805000000,824000000,11379000000,1203000000,-10176000000,-1502000000,-11678000000,468000000,-11210000000,8023000000,-19233000000,0,0,-18756000000,0,-18756000000,-4.38,-4.38,4280000000,4280000000,income-statement
2023-12-30,INTC,USD,0000050863,2024-01-26,2024-01-25 18:38:16,2023,FY,54228000000,32517000000,21711000000,16046000000,4684000000,950000000,5634000000,0,21680000000,54135000000,457000000,1335000000,878000000,9602000000,11242000000,1640000000,-1547000000,93000000,669000000,762000000,-913000000,1675000000,0,0,1689000000,0,1689000000,0.4,0.4,4190000000,4212000000,income-statement
2022-12-31,INTC,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,63054000000,36188000000,26866000000,17528000000,5802000000,1200000000,7002000000,0,24530000000,60718000000,93000000,589000000,496000000,13035000000,21299000000,8264000000,-5930000000,2334000000,5434000000,7768000000,-249000000,8017000000,0,0,8014000000,0,8014000000,1.95,1.94,4108000000,4123000000,income-statement
2021-12-25,INTC,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,79024000000,35209000000,43815000000,15190000000,5443000000,1100000000,6543000000,2626000000,24359000000,59568000000,-453000000,144000000,597000000,11792000000,33874000000,22082000000,-2626000000,19456000000,2247000000,21703000000,1835000000,19868000000,0,0,19868000000,0,19868000000,4.89,4.86,4059000000,4090000000,income-statement
2025-12-31,JPM,USD,0000019617,2026-02-13,2026-02-13 16:20:00,2025,FY,279745000000,112138000000,167607000000,0,54487000000,5531000000,60018000000,34994000000,95012000000,207150000000,95443000000,193341000000,97898000000,8821000000,81416000000,72595000000,0,72595000000,0,72595000000,15547000000,57048000000,0,0,57048000000,0,55681000000,20.09,20.05,2788700000,2793700000,income-statement
